RegionName,1/31/2000,2/29/2000,3/31/2000,4/30/2000,5/31/2000,6/30/2000,7/31/2000,8/31/2000,9/30/2000,10/31/2000,11/30/2000,12/31/2000,1/31/2023,2/28/2023
Morris,"$47,754.52 ","$47,987.23 ","$48,137.36 ","$48,349.53 ","$48,563.32 ","$48,786.46 ","$49,164.05 ","$49,360.89 ","$49,442.74 ","$49,320.04 ","$49,359.71 ","$49,474.87 ","$159,506.39 ","$160,357.67 "
Ochelata,"$31,689.41 ","$31,477.69 ","$31,509.02 ","$31,610.83 ","$31,732.42 ","$32,018.86 ","$32,350.96 ","$32,830.75 ","$33,074.07 ","$33,051.49 ","$33,345.41 ","$33,672.17 ","$133,243.25 ","$135,417.99 "
Kiefer,"$92,624.05 ","$92,758.44 ","$92,814.09 ","$93,007.06 ","$93,257.89 ","$93,800.27 ","$94,400.82 ","$94,906.11 ","$95,210.88 ","$95,543.11 ","$96,025.69 ","$96,554.43 ","$217,128.97 ","$217,546.18 "
Bristow,"$26,585.05 ","$26,739.51 ","$26,847.34 ","$27,119.93 ","$27,349.63 ","$27,561.89 ","$27,791.48 ","$27,930.64 ","$28,050.00 ","$28,064.67 ","$28,185.10 ","$28,316.79 ","$96,680.24 ","$96,118.69 "
Turley,"$30,838.25 ","$30,761.66 ","$30,884.85 ","$30,795.43 ","$30,515.96 ","$30,127.38 ","$30,108.20 ","$30,695.54 ","$31,436.50 ","$31,831.23 ","$31,405.28 ","$30,748.93 ","$55,583.00 ","$58,377.95 "
Big Cabin,"$55,809.02 ","$55,692.35 ","$55,737.67 ","$55,642.87 ","$55,866.82 ","$56,159.21 ","$56,594.53 ","$56,668.86 ","$56,470.88 ","$56,184.16 ","$56,025.91 ","$56,235.85 ","$204,425.62 ","$206,372.41 "
Morrison,"$57,939.90 ","$58,104.59 ","$58,280.09 ","$58,690.17 ","$59,128.37 ","$59,827.59 ","$60,702.80 ","$61,700.00 ","$62,561.89 ","$63,147.25 ","$63,533.69 ","$63,976.64 ","$168,455.52 ","$168,455.52 "
Fairfax,"$15,968.87 ","$16,142.67 ","$16,176.38 ","$16,267.62 ","$16,251.94 ","$16,206.78 ","$16,105.57 ","$15,958.91 ","$15,912.73 ","$15,994.97 ","$16,120.80 ","$16,225.72 ","$60,757.99 ","$61,837.69 "
Barnsdall,"$23,843.09 ","$23,783.30 ","$23,747.52 ","$23,772.19 ","$24,308.06 ","$25,040.27 ","$25,816.11 ","$26,254.12 ","$26,659.21 ","$26,914.32 ","$27,275.08 ","$27,568.43 ","$89,210.48 ","$89,494.10 "
McCord,"$66,808.97 ","$67,020.71 ","$67,180.04 ","$67,485.98 ","$67,691.90 ","$67,944.64 ","$68,076.26 ","$68,191.41 ","$68,302.37 ","$68,572.33 ","$69,028.11 ","$69,491.87 ","$178,262.73 ","$178,561.33 "
Beggs,"$45,960.58 ","$45,846.37 ","$45,653.35 ","$45,261.44 ","$44,636.84 ","$44,211.86 ","$44,110.55 ","$44,410.22 ","$44,892.10 ","$45,279.31 ","$45,726.29 ","$46,212.62 ","$133,684.75 ","$134,060.44 "
Cleveland,"$29,502.41 ","$29,602.27 ","$29,697.66 ","$29,814.96 ","$29,879.74 ","$29,947.32 ","$30,182.37 ","$30,490.40 ","$30,784.04 ","$30,912.46 ","$31,056.42 ","$31,230.39 ","$100,878.06 ","$101,700.94 "
Pawnee,"$11,227.47 ","$11,258.58 ","$11,293.15 ","$11,388.09 ","$11,483.63 ","$11,589.32 ","$11,632.14 ","$11,655.52 ","$11,667.22 ","$11,702.23 ","$11,742.53 ","$11,807.10 ","$60,235.93 ","$61,121.40 "
Mannford,"$79,726.80 ","$79,925.40 ","$80,153.73 ","$80,406.92 ","$80,467.78 ","$80,296.96 ","$80,179.87 ","$80,300.11 ","$80,478.72 ","$80,807.04 ","$81,100.74 ","$81,609.54 ","$185,322.94 ","$186,422.94 "
Kellyville,"$36,431.96 ","$36,285.45 ","$36,192.13 ","$35,943.25 ","$35,828.75 ","$35,876.76 ","$36,103.15 ","$36,447.13 ","$36,939.48 ","$37,602.89 ","$38,121.05 ","$38,461.65 ","$133,826.43 ","$133,995.31 "
Westport,"$95,264.28 ","$94,861.27 ","$94,862.90 ","$94,781.68 ","$95,201.40 ","$95,817.43 ","$96,922.44 ","$98,011.44 ","$98,856.16 ","$99,142.17 ","$99,546.32 ","$100,243.10 ","$227,140.07 ","$229,012.57 "
Limestone,"$128,864.83 ","$128,980.59 ","$129,124.23 ","$129,434.61 ","$129,741.85 ","$130,386.86 ","$131,373.91 ","$132,546.65 ","$133,663.08 ","$134,320.53 ","$135,231.92 ","$136,526.46 ","$276,532.11 ","$276,443.72 "
Sperry,"$23,968.91 ","$23,968.91 ","$23,902.72 ","$23,824.39 ","$23,731.32 ","$23,693.37 ","$23,869.88 ","$24,204.00 ","$24,601.96 ","$24,810.56 ","$24,888.53 ","$24,776.22 ","$83,292.89 ","$86,298.47 "
Ralston,"$8,220.46 ","$8,228.15 ","$8,218.99 ","$8,223.76 ","$8,195.69 ","$8,234.57 ","$8,286.65 ","$8,386.26 ","$8,463.62 ","$8,525.03 ","$8,619.28 ","$8,674.98 ","$52,873.60 ","$55,153.17 "
